consistency_model,replication_factor,time_bench1,time_bench2
LINEARIZABLE,1,3.709437131881714,3.1217730045318604
EVENTUAL,1,3.1113080978393555,2.8521671295166016
LINEARIZABLE,3,4.3688154220581055,4.388285875320435
EVENTUAL,3,4.012781620025635,2.7453463077545166
LINEARIZABLE,5,5.555492639541626,5.232261657714844
EVENTUAL,5,3.985464334487915,2.3690576553344727
LINEARIZABLE,8,8.286467552185059,7.817507028579712
EVENTUAL,8,5.65659761428833,1.7307579517364502
LINEARIZABLE,10,9.332274913787842,8.784588098526001
EVENTUAL,10,6.492460012435913,1.363337516784668
