consistency_model,replication_factor,time_bench1,time_bench2
LINEARIZABLE,1,5.873165130615234,5.785369396209717
EVENTUAL,1,5.473733186721802,5.279397010803223
LINEARIZABLE,3,6.400860786437988,6.03309178352356
EVENTUAL,3,6.091155290603638,4.258831024169922
LINEARIZABLE,5,8.10443902015686,7.339844703674316
EVENTUAL,5,6.799323320388794,3.3831448554992676
LINEARIZABLE,8,10.60314154624939,9.467042922973633
EVENTUAL,8,7.305370807647705,1.730081558227539
LINEARIZABLE,10,12.206005334854126,11.998247146606445
EVENTUAL,10,8.245828866958618,1.1494688987731934
